|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 6658747 | 2012-03-15 11:31:42 |      LIS2 |        WA |  0.72 |   8208 | C++ |
| 6652276 | 2012-03-14 12:30:15 |      LIS2 |        WA |  0.04 |   5168 | C++ |
| 6651047 | 2012-03-14 05:08:59 |      LIS2 |        WA |  0.04 |   5168 | C++ |
| 6636522 | 2012-03-11 12:23:15 |  GUANGGUN |        AC |  0.00 |   2688 | C++ |
| 6624918 | 2012-03-09 05:15:12 |    LCMSUM |       TLE | -1.00 |  33936 | C++ |
| 6624909 | 2012-03-09 05:10:16 |    LCMSUM |       TLE | -1.00 |  67584 | C++ |
| 6354114 | 2012-01-15 14:14:19 |  CISTFILL |        AC |  0.28 |   2824 | C++ |
| 6315595 | 2012-01-08 09:25:40 |   MARTIAN |        AC |  0.20 |   7808 | C++ |
| 6315591 | 2012-01-08 09:25:10 |   MARTIAN |        RE |  0.01 |   7804 | C++ |
| 6315581 | 2012-01-08 09:23:45 |   MARTIAN |        RE |  0.01 |   7804 | C++ |
| 6315576 | 2012-01-08 09:22:26 |   MARTIAN |        AC |  0.52 |   7808 | C++ |
| 6315565 | 2012-01-08 09:19:32 |   MARTIAN |        WA |  3.71 |   7808 | C++ |
| 6208020 | 2011-12-19 12:04:21 |  SAMER08D |       TLE | -1.00 |  23168 | C++ |
| 6208017 | 2011-12-19 12:03:39 |  SAMER08D |        CE |  0.00 |      0 | C++ |
| 6208012 | 2011-12-19 12:02:24 |  SAMER08D |       TLE | -1.00 |  23176 | C++ |
| 6207994 | 2011-12-19 11:57:57 |  SAMER08D |       TLE | -1.00 |  23168 | C++ |
| 6207750 | 2011-12-19 11:16:43 |      QCJ3 |        AC |  0.00 |   2688 | C++ |
| 6207744 | 2011-12-19 11:16:00 |      QCJ3 |        WA |  0.01 |   2688 | C++ |
| 6202605 | 2011-12-18 14:12:22 |  ANARC09A |        AC |  0.00 |   2688 | C++ |
| 6158997 | 2011-12-10 14:49:41 |   MMMGAME |        WA |  0.01 |   2688 | C++ |
| 6158902 | 2011-12-10 14:36:30 |   MDIGITS |        AC |  0.00 |   2688 | C++ |
| 6149083 | 2011-12-08 10:07:12 |   CHEFMAY |        AC |  0.06 |   2688 | C++ |
| 6149078 | 2011-12-08 10:05:42 |   CHEFMAY |        WA |  0.33 |   2688 | C++ |
| 6148054 | 2011-12-08 03:03:04 |  LAZYCOWS |        AC |  0.02 |  23312 | C++ |
| 6145120 | 2011-12-07 14:27:49 |  NOVICE63 |        AC |  0.00 |   2688 | C++ |
| 6140321 | 2011-12-06 16:04:24 |        CT |        AC |  0.03 |   2688 | C++ |
| 6113703 | 2011-12-01 15:00:11 |  NOVICE63 |       TLE | -1.00 |   2688 | C++ |
| 6113700 | 2011-12-01 14:59:17 |  NOVICE63 |       TLE | -1.00 |   2688 | C++ |
| 5956542 | 2011-11-03 09:06:50 |     KAMIL |       215 |  0.00 |   2688 | C++ |
| 5956533 | 2011-11-03 09:05:30 |     KAMIL |        WA |  0.00 |   2688 | C++ |
| 5920940 | 2011-10-28 14:13:22 |    TABLIC |        AC |  0.15 |   2896 | C++ |
| 5920288 | 2011-10-28 12:45:07 |    TABLIC |        WA |  0.00 |   2704 | C++ |
| 5918790 | 2011-10-28 08:31:11 |      PSTR |       TLE | -1.00 |   6592 | C++ |
